;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.0054,0.0054,0.0054,0.0054
2,0.0037,0.0037,0.0037,0.0037
3,0.0034,0.0034,0.0034,0.0034
4,0.0065,0.0065,0.0065,0.0065
5,0.0189,0.0189,0.0189,0.0189
6,0.0695,0.0695,0.0695,0.0695
7,0.3097,0.3451,0.3097,0.3451
8,0.3684,0.3521,0.3684,0.3521
9,0.3219,0.3028,0.3219,0.3028
10,0.1531,0.1531,0.1531,0.1531
11,0.1182,0.1182,0.1182,0.1182
12,0.1050,0.1050,0.1050,0.1050
13,0.0964,0.0964,0.0964,0.0964
14,0.0893,0.0893,0.0893,0.0893
15,0.0905,0.0905,0.0905,0.0905
16,0.0896,0.0896,0.0896,0.0896
17,0.3451,0.3097,0.3451,0.3097
18,0.3521,0.3684,0.3521,0.3684
19,0.3028,0.3219,0.3028,0.3219
20,0.0545,0.0545,0.0545,0.0545
21,0.0358,0.0358,0.0358,0.0358
22,0.0293,0.0293,0.0293,0.0293
23,0.0198,0.0198,0.0198,0.0198
24,0.0111,0.0111,0.0111,0.0111
