;Hours,Dir_1,Dir_2
1,-1.34133271,-1.34133271
2,-1.34133271,-1.34133271
3,-1.34133271,-1.34133271
4,-1.34133271,-1.34133271
5,-1.34133271,-1.34133271
6,-0.630776819,-0.630776819
7,0,0
8,0,0
9,0,0
10,0,0
11,-0.336414303,-0.336414303
12,-0.336414303,-0.336414303
13,-0.336414303,-0.336414303
14,-0.336414303,-0.336414303
15,-0.336414303,-0.336414303
16,0,0
17,0,0
18,0,0
19,0,0
20,-0.336414303,-0.336414303
21,-0.336414303,-0.336414303
22,-0.630776819,-0.630776819
23,-1.34133271,-1.34133271
24,-1.34133271,-1.34133271
