A,B,SCREENLINE,COUNT,ESTVOL,V/C
     39.00,    235.00,      1.00,  11100.00,     10582,      0.95
    108.00,    237.00,     44.00,  61350.00,     61262,      1.00
    115.00,    119.00,     42.00,   2950.00,      2860,      0.97
    119.00,    122.00,     40.00,  64300.00,     64759,      1.01
    120.00,    118.00,     41.00,   2950.00,      3278,      1.11
    123.00,    120.00,     39.00,  64300.00,     64982,      1.01
    125.00,    128.00,     38.00,   8850.00,      8484,      0.96
    127.00,    126.00,     37.00,   8850.00,      7840,      0.89
    133.00,    316.00,     36.00,   8800.00,      9164,      1.04
    134.00,    130.00,     35.00,   8800.00,      9809,      1.11
    135.00,    137.00,     34.00,  64250.00,     65438,      1.02
    136.00,    134.00,     33.00,  64250.00,     66951,      1.04
    139.00,    141.00,     32.00,   8000.00,      6455,      0.81
    140.00,    138.00,     31.00,  13900.00,     10191,      0.73
    150.00,    151.00,     28.00,  61350.00,     58983,      0.96
    152.00,    149.00,     27.00,  61350.00,     56760,      0.93
    153.00,    160.00,     30.00,  11000.00,      9670,      0.88
    153.00,    305.00,     46.00,   4900.00,      5712,      1.17
    154.00,    152.00,     45.00,   4900.00,      5777,      1.18
    155.00,    157.00,     25.00,  10750.00,     10978,      1.02
    156.00,    281.00,     29.00,   7000.00,      6120,      0.87
    157.00,    285.00,     23.00,  56449.00,     57102,      1.01
    163.00,    159.00,     26.00,  10750.00,     10988,      1.02
    170.00,    169.00,     21.00,   5250.00,      5019,      0.96
    172.00,    173.00,     22.00,   5250.00,      5008,      0.95
    176.00,    272.00,     48.00,  50949.00,     51150,      1.00
    178.00,    182.00,     20.00,   7491.00,      7515,      1.00
    180.00,    177.00,     19.00,   7491.00,      7518,      1.00
    182.00,    185.00,     18.00,   7350.00,      7322,      1.00
    183.00,    180.00,     17.00,   7350.00,      7322,      1.00
    188.00,    189.00,     16.00,  50808.00,     50956,      1.00
    189.00,    195.00,     14.00,   8500.00,      8384,      0.99
    190.00,    187.00,     15.00,  50808.00,     50948,      1.00
    192.00,    190.00,     13.00,   8500.00,      8376,      0.99
    195.00,    197.00,     12.00,   4000.00,      4124,      1.03
    196.00,    192.00,     11.00,   4000.00,      4119,      1.03
    200.00,    202.00,     10.00,  46308.00,     46696,      1.01
    203.00,    201.00,      9.00,  46308.00,     46690,      1.01
    206.00,    209.00,      8.00,   4350.00,      3850,      0.89
    213.00,    207.00,      7.00,   4350.00,      3834,      0.88
    216.00,    219.00,      6.00,   5100.00,      5612,      1.10
    220.00,    218.00,      5.00,   5100.00,      5610,      1.10
    223.00,    225.00,      4.00,  38400.00,     37873,      0.99
    224.00,    222.00,      3.00,  38400.00,     37884,      0.99
    236.00,     38.00,      2.00,  11100.00,     10585,      0.95
    269.00,    175.00,     47.00,  50949.00,     51143,      1.00
    286.00,    158.00,     24.00,  56449.00,     57129,      1.01
    322.00,    111.00,     43.00,  61350.00,     61704,      1.01
