A,B,SCREENLINE,COUNT,ESTVOL,V/C
     39.00,    235.00,      1.00,   6602.00,      4039,      0.61
    108.00,    237.00,     44.00,  39951.00,      2514,      0.06
    117.00,    119.00,     42.00,  39951.00,     13316,      0.33
    119.00,    122.00,     40.00,  41797.00,     13845,      0.33
    120.00,    116.00,     41.00,  39948.00,         0,         0
    122.00,    132.00,     38.00,  37300.00,     13073,      0.35
    123.00,    120.00,     39.00,  41800.00,      5900,      0.14
    131.00,    123.00,     37.00,  37303.00,      5035,      0.13
    132.00,    316.00,     36.00,  37300.00,     13073,      0.35
    134.00,    131.00,     35.00,  37303.00,      5035,      0.13
    135.00,    137.00,     34.00,  42650.00,     14004,      0.33
    136.00,    134.00,     33.00,  42650.00,      6001,      0.14
    139.00,    150.00,     32.00,  37196.00,     13001,      0.35
    149.00,    138.00,     31.00,  37199.00,      4990,      0.13
    150.00,    151.00,     28.00,  37196.00,     13001,      0.35
    151.00,    160.00,     30.00,  30400.00,     10004,      0.33
    152.00,    149.00,     27.00,  37199.00,      4990,      0.13
    156.00,    152.00,     29.00,  30398.00,      3961,      0.13
    157.00,    285.00,     23.00,  34148.00,      4989,      0.15
    160.00,    290.00,     26.00,  34148.00,     10992,      0.32
    163.00,    173.00,     22.00,  28548.00,     10005,      0.35
    170.00,    157.00,     21.00,  28548.00,      3987,      0.14
    176.00,    272.00,     48.00,  31601.00,     10978,      0.35
    177.00,    267.00,     20.00,  31600.00,      4026,      0.13
    181.00,    188.00,     18.00,  27501.00,      8991,      0.33
    187.00,    179.00,     17.00,  27498.00,      3954,      0.14
    188.00,    189.00,     16.00,  31800.00,     10990,      0.35
    189.00,    194.00,     14.00,  31800.00,      9971,      0.31
    190.00,    187.00,     15.00,  31800.00,      3994,      0.13
    193.00,    190.00,     13.00,  31800.00,      3971,      0.12
    194.00,    197.00,     12.00,  25849.00,      9971,      0.39
    196.00,    193.00,     11.00,  25850.00,      3971,      0.15
    200.00,    202.00,     10.00,  28499.00,     10035,      0.35
    203.00,    201.00,      9.00,  28503.00,      4069,      0.14
    206.00,    211.00,      8.00,  28499.00,      9514,      0.33
    211.00,    219.00,      6.00,  26499.00,      9514,      0.36
    212.00,    207.00,      7.00,  28503.00,      3945,      0.14
    220.00,    212.00,      5.00,  26501.00,      3945,      0.15
    223.00,    225.00,      4.00,  22599.00,      8027,      0.36
    224.00,    222.00,      3.00,  22600.00,      4041,      0.18
    236.00,     38.00,      2.00,   6600.00,      4012,      0.61
    268.00,    178.00,     19.00,  31601.00,     10978,      0.35
    269.00,    175.00,     47.00,  31600.00,      4026,      0.13
    286.00,    158.00,     24.00,  34148.00,     10992,      0.32
    289.00,    156.00,     25.00,  34148.00,      4989,      0.15
    322.00,    111.00,     43.00,  39948.00,         0,         0
