A,B,SCREENLINE,COUNT,ESTVOL,V/C
     39.00,    235.00,      1.00,   6600.00,       717,      0.11
    108.00,    237.00,     44.00,  39950.00,       772,      0.02
    115.00,    119.00,     42.00,   1850.00,       205,      0.11
    119.00,    122.00,     40.00,  41800.00,      4575,      0.11
    120.00,    118.00,     41.00,   1850.00,      3357,      1.81
    123.00,    120.00,     39.00,  41800.00,      3357,      0.08
    125.00,    128.00,     38.00,   4500.00,      1109,      0.25
    127.00,    126.00,     37.00,   4500.00,       983,      0.22
    133.00,    316.00,     36.00,   5350.00,       330,      0.06
    134.00,    130.00,     35.00,   5350.00,       155,      0.03
    135.00,    137.00,     34.00,  42650.00,      3797,      0.09
    136.00,    134.00,     33.00,  42650.00,      2530,      0.06
    139.00,    141.00,     32.00,   6000.00,       466,      0.08
    140.00,    138.00,     31.00,   9200.00,       332,      0.04
    150.00,    151.00,     28.00,  37200.00,      3331,      0.09
    152.00,    149.00,     27.00,  37200.00,      2198,      0.06
    153.00,    160.00,     30.00,   3750.00,       518,      0.14
    153.00,    305.00,     46.00,   3050.00,       725,      0.24
    154.00,    152.00,     45.00,   3050.00,       512,      0.17
    155.00,    157.00,     25.00,   5600.00,       409,      0.07
    156.00,    281.00,     29.00,   3750.00,       475,      0.13
    157.00,    285.00,     23.00,  34150.00,      2161,      0.06
    163.00,    159.00,     26.00,   5600.00,       373,      0.07
    170.00,    169.00,     21.00,   3050.00,       269,      0.09
    172.00,    173.00,     22.00,   3050.00,       233,      0.08
    176.00,    272.00,     48.00,  31600.00,      3101,      0.10
    178.00,    182.00,     20.00,   4100.00,       340,      0.08
    180.00,    177.00,     19.00,   4100.00,       237,      0.06
    182.00,    185.00,     18.00,   4300.00,       386,      0.09
    183.00,    180.00,     17.00,   4300.00,       349,      0.08
    188.00,    189.00,     16.00,  31800.00,      3147,      0.10
    189.00,    195.00,     14.00,   5950.00,       467,      0.08
    190.00,    187.00,     15.00,  31800.00,      2132,      0.07
    192.00,    190.00,     13.00,   5950.00,       331,      0.06
    195.00,    197.00,     12.00,   2650.00,       311,      0.12
    196.00,    192.00,     11.00,   2650.00,       269,      0.10
    200.00,    202.00,     10.00,  28500.00,      2991,      0.10
    203.00,    201.00,      9.00,  28500.00,      2070,      0.07
    206.00,    209.00,      8.00,   2000.00,       173,      0.09
    213.00,    207.00,      7.00,   2000.00,       101,      0.05
    216.00,    219.00,      6.00,   2700.00,       172,      0.06
    220.00,    218.00,      5.00,   2700.00,       157,      0.06
    223.00,    225.00,      4.00,  22600.00,      2053,      0.09
    224.00,    222.00,      3.00,  22600.00,      1410,      0.06
    236.00,     38.00,      2.00,   6600.00,       937,      0.14
    269.00,    175.00,     47.00,  31600.00,      2020,      0.06
    286.00,    158.00,     24.00,  34150.00,      3241,      0.09
    322.00,    111.00,     43.00,  39950.00,         0,         0
