A,B,SCREENLINE,COUNT,ESTVOL,V/C
     39.00,    235.00,      1.00,   6600.00,       107,      0.02
    108.00,    237.00,     44.00,  39950.00,       427,      0.01
    115.00,    119.00,     42.00,   1850.00,         1,      0.00
    119.00,    122.00,     40.00,  41800.00,       881,      0.02
    120.00,    118.00,     41.00,   1850.00,       219,      0.12
    123.00,    120.00,     39.00,  41800.00,       219,      0.01
    125.00,    128.00,     38.00,   4500.00,        96,      0.02
    127.00,    126.00,     37.00,   4500.00,         0,      0.00
    133.00,    316.00,     36.00,   5350.00,        54,      0.01
    134.00,    130.00,     35.00,   5350.00,         5,      0.00
    135.00,    137.00,     34.00,  42650.00,       839,      0.02
    136.00,    134.00,     33.00,  42650.00,       224,      0.01
    139.00,    141.00,     32.00,   6000.00,       149,      0.02
    140.00,    138.00,     31.00,   9200.00,        27,      0.00
    150.00,    151.00,     28.00,  37200.00,       690,      0.02
    152.00,    149.00,     27.00,  37200.00,       197,      0.01
    153.00,    160.00,     30.00,   3750.00,       121,      0.03
    153.00,    305.00,     46.00,   3050.00,       204,      0.07
    154.00,    152.00,     45.00,   3050.00,        10,      0.00
    155.00,    157.00,     25.00,   5600.00,        29,      0.01
    156.00,    281.00,     29.00,   3750.00,        34,      0.01
    157.00,    285.00,     23.00,  34150.00,       221,      0.01
    163.00,    159.00,     26.00,   5600.00,        65,      0.01
    170.00,    169.00,     21.00,   3050.00,        39,      0.01
    172.00,    173.00,     22.00,   3050.00,        86,      0.03
    176.00,    272.00,     48.00,  31600.00,       710,      0.02
    178.00,    182.00,     20.00,   4100.00,       140,      0.03
    180.00,    177.00,     19.00,   4100.00,        13,      0.00
    182.00,    185.00,     18.00,   4300.00,        74,      0.02
    183.00,    180.00,     17.00,   4300.00,        52,      0.01
    188.00,    189.00,     16.00,  31800.00,       644,      0.02
    189.00,    195.00,     14.00,   5950.00,       169,      0.03
    190.00,    187.00,     15.00,  31800.00,       270,      0.01
    192.00,    190.00,     13.00,   5950.00,        67,      0.01
    195.00,    197.00,     12.00,   2650.00,        99,      0.04
    196.00,    192.00,     11.00,   2650.00,        83,      0.03
    200.00,    202.00,     10.00,  28500.00,       575,      0.02
    203.00,    201.00,      9.00,  28500.00,       286,      0.01
    206.00,    209.00,      8.00,   2000.00,        58,      0.03
    213.00,    207.00,      7.00,   2000.00,         0,         0
    216.00,    219.00,      6.00,   2700.00,        92,      0.03
    220.00,    218.00,      5.00,   2700.00,        56,      0.02
    223.00,    225.00,      4.00,  22600.00,       433,      0.02
    224.00,    222.00,      3.00,  22600.00,       234,      0.01
    236.00,     38.00,      2.00,   6600.00,       175,      0.03
    269.00,    175.00,     47.00,  31600.00,       231,      0.01
    286.00,    158.00,     24.00,  34150.00,       688,      0.02
    322.00,    111.00,     43.00,  39950.00,         0,         0
