A,B,LOC_check,CNT_2020,CNT_2040,Dir_SB_NB
39,235,1,6600,11100,1
236,38,2,6600,11100,2
224,222,3,22600,38400,1
223,225,4,22600,38400,2
220,218,5,2700,5100,1
216,219,6,2700,5100,2
213,207,7,2000,4350,1
206,209,8,2000,4350,2
203,201,9,28500,46308,1
200,202,10,28500,46308,2
196,192,11,2650,4000,1
195,197,12,2650,4000,2
192,190,13,5950,8500,1
189,195,14,5950,8500,2
190,187,15,31800,50808,1
188,189,16,31800,50808,2
183,180,17,4300,7350,1
182,185,18,4300,7350,2
180,177,19,4100,7491,1
178,182,20,4100,7491,2
170,169,21,3050,5250,1
172,173,22,3050,5250,2
157,285,23,34150,56449,1
286,158,24,34150,56449,2
155,157,25,5600,10750,1
163,159,26,5600,10750,2
152,149,27,37200,61350,1
150,151,28,37200,61350,2
156,281,29,3750,11000,1
153,160,30,3750,11000,2
140,138,31,9200,13900,1
139,141,32,9200,13900,2
136,134,33,42650,64250,1
135,137,34,42650,64250,2
134,130,35,5350,8800,1
133,316,36,5350,8800,2
127,126,37,4500,8850,1
125,128,38,4500,8850,2
123,120,39,41800,64300,1
119,122,40,41800,64300,2
120,118,41,1850,2950,1
115,119,42,1850,2950,2
322,111,43,39950,61350,1
108,237,44,39950,61350,2
154,152,45,3050,4900,1
151,282,46,3050,4900,2
269,175,47,31600,50949,1
176,272,48,31600,50949,2
