"","LOC","CNT_2020","ODME_2020","CNT_2040","ODME_2040"
"1",1,6600,6707.58,11100,10807.8
"2",44,39950,39931.03906,61350,61347.60938
"3",42,1850,1834.87012,2950,2947.5
"4",40,41800,41817.20313,64300,64613.10938
"5",41,1850,1850.14465,2950,1844.92566
"6",39,41800,41799.82031,64300,62083.04688
"7",38,4500,4505.42139,8850,8546.56055
"8",37,4500,4503.30078,8850,0.00148
"9",36,5350,5352.69,8800,9111.92
"10",35,5350,5351.3501,8800,5472.09375
"11",34,42650,42664.46875,64250,65178.46875
"12",33,42650,42647.87109,64250,67555.14063
"13",32,9200,9183.83,13900,12662.07
"14",31,9200,9199.08,13900,13924.97
"15",30,3750,3767.63,11000,12401.25977
"16",25,3050,3731.02,4900,6308.9
"17",29,3750,3750.92,11000,10977.32
"18",27,37200,36517.23828,61350,59964.21094
"19",26,3050,3725.37,4900,5800.13
"20",24,34150,32783.10156,56450,53253.01953
"21",23,34150,32786.21875,56450,53655.30859
"22",21,5600,3555.99,10750,6548.5
"23",22,5600,3557.48,10750,6653.49
"24",20,3050,5093.18,5250,9348.66
"25",19,3050,5093.87,5250,9452.68
"26",18,4100,2058.3,7492,3396.75
"27",17,4100,2056.32,7492,3283.88
"28",16,31800,33305.69922,50808,53954.60156
"29",14,5950,6489.46,8500,9450.38
"30",15,31800,33304.66016,50808,54035.01172
"31",13,5950,6487.29,8500,9475.23
"32",12,2650,2114.49,4000,3051.86
"33",11,2650,2114.23,4000,3016.25
"34",10,28500,28930.73047,46308,47556.07813
"35",9,28500,28931.59961,46308,47576.03125
"36",8,2000,2113.82,4350,4054.89
"37",7,2000,2108.59,4350,4055.24
"38",6,2700,2595.17,5100,5399.9
"39",5,2700,2592.67,5100,5394.61
"40",4,22600,22705.69922,38400,38100.66016
"41",3,22600,22708.09961,38400,38107.60156
"42",2,6600,6706.38,11100,10800.43
"43",28,37200,36508.46875,61350,59053.14844
"44",43,39950,39949.67578,61350,60238.12109
