TRIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,210.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5284.09,0,0,0,0,0,0,0,0
2,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,2979.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,15.18,0,0,274.6,0,161.54,90.34,469.79,0,0,0,0,0,87.37,0,0,253.68,131.21,0,0,952.62,58.56,0,0,0,172.49,658.29,0,0,0,0,0,0,0,171.76,0,0,102.05,174.68
4,0,0,0,0,0,0,2.12,0,0,4.33,0,45.51,0,96.48,0,0,0,0,0,6.72,0,0,0,11.65,2.42,198.2,0,0,0,0,0,269.54,202.07,0,0,0,0,0,0,0,42.44,0,0,186.21,13.1
5,0,0,0,0,0,0.45,2.13,0,0,2.96,0,5.56,0.09,0.72,0,0.34,5.51,0,0,921.64,1837.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,9.34,0
6,0,0,0,0,0,0,30.1,0,0,0,0,0,4.8,61.59,0,0,0,0,413.86,0,0,2848.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.96,0
7,0,0,13.05,2.05,2.99,21,0,0,0,1071.5,0,160.11,14.34,504.67,0,103.97,66.04,0,44.2,35.57,0,427.22,82.79,7.15,22.55,73.02,2.04,37.16,0,0,0,225.47,169.27,0,0,0,0,215.21,0,0,1928.41,0,0,622.24,0
8,0,0,0,0,13.73,0,274.54,0,0,21252.55,0,7437.32,4621.5,615.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,4.67,0,286.02,0,0,0,0,2616.72,1195.79,4049.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
