"Seg","Hour","GU_NB","GU_SB","EL_NB","EL_SB","Corridor","Share_XL_NB","Share_XL_SB","VC_GU_NB","VC_GU_SB","VC_EL_NB","VC_EL_SB","Speed_GU_NB","Speed_GU_SB","Speed_EL_NB","Speed_EL_SB","Toll_EL_NB","Toll_EL_SB"
1,1,190.75743,136.7238,6.11257,5.1162,338.71,0.0320436797664972,0.0374199663847845,0.03086,0.02212,0.00295,0.00247,59.99649,59.99676,59.99202,59.99206,0,0
1,2,109.54566,88.35257,3.68434,3.30744,204.89001,0.0336329161739497,0.0374345647217732,0.01772,0.01429,0.00178,0.0016,59.99689,59.99699,59.99212,59.99214,0,0
1,3,85.36342,74.84789,2.97658,2.80211,165.99,0.0348695026511356,0.0374373946947603,0.01381,0.01211,0.00144,0.00135,59.99701,59.99706,59.99215,59.99216,0,0
1,4,133.13203,138.59198,5.02796,5.18801,281.93998,0.0377667192485535,0.0374336956582913,0.02154,0.02242,0.00243,0.00251,59.99677,59.99675,59.99206,59.99205,0,0
1,5,350.45886,408.68414,14.01112,15.30588,788.46,0.0399793573488198,0.0374516123870136,0.0567,0.06612,0.00677,0.00739,59.99567,59.99536,59.99169,59.99163,0,0
1,6,1148.40344,1377.91724,46.61658,51.63277,2624.57003,0.0405925116351097,0.0374716046081258,0.18579,0.22292,0.02252,0.02494,59.99068,59.9889,59.99029,59.99007,0,0
1,7,3723.85278,4388.01172,164.47737,312.64847,8588.99034,0.0441686016384353,0.0712506004883688,0.60245,0.7099,0.07946,0.15104,59.94507,59.90098,59.98479,59.97669,0,0
1,8,4229.5835,5187.67432,797.74652,774.43604,10989.44038,0.188611129204566,0.149283858667519,0.68427,0.83927,0.38538,0.37412,59.91547,59.64475,59.93447,59.93736,0.18,0.18
1,9,3954.75586,4666.08691,592.98407,660.16272,9873.98956,0.149942016901139,0.141481016691993,0.6398,0.75488,0.28647,0.31892,59.93386,59.86325,59.95622,59.9499,0,0.18
1,10,3286.76489,3715.83105,91.60506,166.20898,7260.40998,0.0278708891769864,0.0447299615519387,0.53174,0.60115,0.04425,0.08029,59.96007,59.9454,59.98828,59.9847,0,0
1,11,2456.68994,2700.75684,34.31007,55.84316,5247.60001,0.0139659748840751,0.0206768558994004,0.39745,0.43693,0.01657,0.02698,59.97695,59.973,59.99082,59.98988,0,0
1,12,2327.14648,2457.95239,48.71344,72.91769,4906.73,0.0209326917831146,0.0296660302683894,0.37649,0.39765,0.02353,0.03523,59.9788,59.97693,59.9902,59.98912,0,0
1,13,2278.70068,2333.51855,49.29949,69.00138,4730.5201,0.0216349125765829,0.0295696728016154,0.36865,0.37752,0.02382,0.03333,59.97946,59.97872,59.99017,59.9893,0,0
1,14,2061.05396,2170.60107,187.23621,64.57889,4483.47013,0.0908448850121323,0.0297516162193728,0.33344,0.35116,0.09045,0.0312,59.98219,59.98086,59.98364,59.9895,0,0
1,15,2260.06372,2138.40918,37.5762,44.26095,4480.31005,0.0166261683984733,0.0206980733219636,0.36564,0.34595,0.01815,0.02138,59.97971,59.98125,59.99068,59.99039,0,0
1,16,2535.28564,2161.50854,98.37429,95.7915,4890.95997,0.0388020538782368,0.0443169657798345,0.41016,0.34969,0.04752,0.04628,59.97575,59.98097,59.98796,59.98808,0,0
1,17,3007.21558,2289.729,126.46439,100.43104,5523.84001,0.0420536495092247,0.0438615399464303,0.48651,0.37043,0.06109,0.04852,59.96698,59.97931,59.98665,59.98787,0,0
1,18,3273.95703,2489.46143,138.45276,109.37869,6011.24991,0.0422891194757067,0.0439366879445889,0.52966,0.40275,0.06689,0.05284,59.96042,59.97646,59.98607,59.98745,0,0
1,19,2718.71631,2084.90918,52.68374,42.34077,4898.65,0.0193781674852276,0.0203082083412382,0.43984,0.3373,0.02545,0.02045,59.97268,59.9819,59.99002,59.99047,0,0
1,20,1595.68018,1278.16089,53.58985,48.06908,2975.5,0.0335843301632035,0.0376080041065879,0.25815,0.20678,0.02589,0.02322,59.987,59.98969,59.98999,59.99022,0,0
1,21,1107.38647,887.43335,37.14349,33.23664,2065.19995,0.0335415783073456,0.0374525478448607,0.17915,0.14357,0.01794,0.01606,59.99098,59.9925,59.9907,59.99086,0,0
1,22,977.90613,781.17932,32.75387,29.2507,1821.09002,0.0334938794176492,0.0374442835993149,0.15821,0.12638,0.01582,0.01413,59.99189,59.99318,59.99089,59.99104,0,0
1,23,677.55426,519.28003,22.30577,19.43996,1238.58002,0.032921009160211,0.0374363712773626,0.10962,0.08401,0.01078,0.00939,59.99382,59.99475,59.99133,59.99146,0,0
1,24,408.7066,307.5195,13.3534,11.51049,741.08999,0.0326723375644044,0.0374301141878808,0.06612,0.04975,0.00645,0.00556,59.99536,59.9959,59.99171,59.99179,0,0
2,1,152.3203,231.22797,6.43969,8.22202,398.20998,0.0422772933089024,0.0355580685156731,0.02464,0.03741,0.00311,0.00397,59.99669,59.99629,59.992,59.99193,0,0
2,2,98.50481,129.84454,4.16518,4.60545,237.11998,0.0422840265363691,0.0354689538736092,0.01594,0.02101,0.00201,0.00222,59.99694,59.99679,59.9921,59.99208,0,0
2,3,83.39368,99.5027,3.52632,3.5173,189.94,0.0422852187360001,0.0353487895303344,0.01349,0.0161,0.0017,0.0017,59.99702,59.99694,59.99212,59.99213,0,0
2,4,154.37935,148.91791,6.53065,5.23208,315.05999,0.0423026136591455,0.0351339875774512,0.02498,0.02409,0.00315,0.00253,59.99667,59.9967,59.992,59.99205,0,0
2,5,455.3259,379.34656,19.26409,13.25345,867.19,0.0423083553999454,0.0349375779234692,0.07366,0.06137,0.00931,0.0064,59.99511,59.99552,59.99146,59.99171,0,0
2,6,1535.11609,1231.96375,64.98387,42.9962,2875.05991,0.0423315672497446,0.0349005398900739,0.24835,0.19931,0.03139,0.02077,59.98755,59.99005,59.98948,59.99044,0,0
2,7,4868.91064,3872.47168,392.70923,260.36844,9394.45999,0.0806564874643089,0.0672357247555133,0.7877,0.62649,0.18971,0.12578,59.81683,59.93821,59.97164,59.97972,0,0
2,8,5514.8584,4704.38428,1158.73157,675.27588,12053.25013,0.21011084708902,0.143541819674646,0.8922,0.76108,0.55977,0.32622,57.92968,59.85615,59.86547,59.94837,0.18067,0.18
2,9,5126.04785,4312.2627,835.81226,575.24731,10849.37012,0.163051981654834,0.133398020950811,0.8293,0.69764,0.40377,0.2779,59.69716,59.90837,59.92947,59.95778,0.18,0
2,10,3769.49878,3197.42383,575.79138,456.77609,7999.49008,0.152750117085858,0.142857536030811,0.60983,0.51728,0.27816,0.22066,59.94308,59.96246,59.95773,59.96719,0,0
2,11,2872.69629,2569.1875,212.81369,158.35239,5813.04987,0.074081513851922,0.0616352017904493,0.46475,0.41565,0.10281,0.0765,59.96979,59.97521,59.98231,59.9851,0,0
2,12,2554.77295,2414.45679,278.06693,217.86322,5465.15989,0.108842130178339,0.0902328096747592,0.41331,0.39061,0.13433,0.10525,59.97544,59.97757,59.97872,59.98204,0,0
2,13,2425.28857,2387.74561,263.88138,215.78439,5292.69995,0.108804116452006,0.0903715995105526,0.39237,0.38629,0.12748,0.10424,59.97742,59.97795,59.97953,59.98215,0,0
2,14,2260.69531,2330.50732,241.21486,210.51277,5042.93026,0.106699411872536,0.0903291606052539,0.36574,0.37703,0.11653,0.1017,59.9797,59.97876,59.98078,59.98243,0,0
2,15,2275.42383,2475.10352,167.75633,153.53671,5071.82039,0.0737253112093847,0.0620324397583177,0.36812,0.40042,0.08104,0.07417,59.9795,59.97668,59.98463,59.98533,0,0
2,16,2161.1543,2703.65991,365.46585,386.10013,5616.38019,0.16910678242641,0.142806470803497,0.34963,0.4374,0.17655,0.18652,59.98097,59.97295,59.97342,59.97208,0,0
2,17,2285.37598,3251.65747,390.01407,517.42236,6444.46988,0.170656414267555,0.159125727347905,0.36973,0.52606,0.18841,0.24996,59.97937,59.96103,59.97182,59.96257,0,0
2,18,2481.9541,3550.3623,426.97577,555.15753,7014.4497,0.172032097612119,0.156366444630172,0.40153,0.57438,0.20627,0.26819,59.97657,59.9518,59.9693,59.95949,0,0
2,19,2216.4834,3121.2439,164.61656,207.89607,5710.23993,0.0742692501103324,0.0666068005771673,0.35858,0.50496,0.07952,0.10043,59.98027,59.96435,59.98478,59.98257,0,0
2,20,1424.17688,1894.67529,60.32312,67.59464,3446.76993,0.0423564803270785,0.0356761078569827,0.2304,0.30652,0.02914,0.03265,59.98851,59.98405,59.98969,59.98936,0,0
2,21,988.70166,1314.98901,41.81832,46.66103,2392.17002,0.0422961968122922,0.0354839695580422,0.15995,0.21274,0.0202,0.02254,59.99182,59.9894,59.99049,59.99028,0,0
2,22,870.2829,1161.97803,36.80708,41.22197,2110.28998,0.0422932359121385,0.035475687952551,0.1408,0.18799,0.01778,0.01991,59.99261,59.99058,59.99071,59.99052,0,0
2,23,578.53467,811.45923,24.46534,28.81078,1443.27002,0.042288459566304,0.0355049014600524,0.0936,0.13128,0.01182,0.01392,59.99441,59.99299,59.99125,59.99105,0,0
2,24,342.58316,491.14502,14.48686,17.44498,865.66002,0.0422871340202478,0.0355190000704883,0.05542,0.07946,0.007,0.00843,59.99571,59.9949,59.99167,59.99154,0,0
